0,Nop,4
1,Halt,4
2,Panic,4
3,MovRW,8
4,MovRR,4
5,AddRR,4
6,AddRW,8
7,SubRR,4
8,SubRW,8
9,MulRR,4
10,MulRW,8
15,Inc,4
16,Dec,4
17,AndRR,4
18,AndRW,8
19,OrRR,4
20,OrRW,8
24,Cmp,4
25,Push,4
26,Pop,4
27,Jseq,8
28,Jaeq,8
29,Jsne,8
30,Jane,8
31,Js,8
32,Ja,8
33,Calls,8
34,CallaA,8
35,CallaR,4
36,Ret,4
37,Int,4
38,Iret,4
39,Stor,4
40,Load,4
41,Xbm,4
63,Ind,4
64,Ine,4
